transacao_id,usuario_id,data_transacao,mes_referencia,descricao_original,descricao_normalizada,valor,tipo,categoria,subcategoria,estabelecimento,forma_pagamento,parcelas,recorrente,canal,estado,cidade,split,fonte
TX000000796,USR000008,2025-07-01,2025-07,PGTO Aluguel Residencial 3268 ALUG,pgto aluguel residencial 3268 alug,367.42,DESPESA,MORADIA,ALUGUEL,Aluguel Residencial,PIX,1,1,POS,MG,Uberlandia,TRAIN,SINTETICO
TX000000801,USR000008,2025-07-01,2025-07,Microsoft  388,microsoft 388,70.76,DESPESA,SERVICOS,ASSINATURA,Microsoft 365,DEBITO_AUTOMATICO,1,1,POS,MG,Uberlandia,TRAIN,SINTETICO
TX000000802,USR000008,2025-07-01,2025-07,Aluguel Residenci 502,aluguel residenci 502,417.89,DESPESA,MORADIA,ALUGUEL,Aluguel Residencial,CARTAO_CREDITO,1,1,WEB,MG,Uberlandia,TRAIN,SINTETICO
TX000001484,USR000014,2025-07-01,2025-07,McDonalds 928 REST,mcdonalds 928 rest,190.12,DESPESA,ALIMENTACAO,RESTAURANTE,McDonalds,CARTAO_CREDITO,1,0,DEBITO_AUTOMATICO,RJ,Niteroi,VALIDATION,SINTETICO
TX000001711,USR000016,2025-07-01,2025-07,Azul*Seguros,azul seguros,673.45,DESPESA,SERVICOS,SEGURO,Azul Seguros,CARTAO_CREDITO,1,1,APP,DF,Brasilia,VALIDATION,SINTETICO
TX000002064,USR000019,2025-07-01,2025-07,Riachuelo,riachuelo,524.73,DESPESA,COMPRAS,ROUPAS,Riachuelo,CARTAO_DEBITO,1,0,POS,GO,Aparecida de Goiania,TEST,SINTETICO
TX000002065,USR000019,2025-07-01,2025-07,SUPERGASBRAS,supergasbras,35.28,DESPESA,MORADIA,GAS,Supergasbras,BOLETO,1,1,WEB,GO,Aparecida de Goiania,TEST,SINTETICO
TX000002067,USR000019,2025-07-01,2025-07,PIX Vivo Fibra LTDA,pix vivo fibra ltda,433.59,DESPESA,SERVICOS,INTERNET,Vivo Fibra,DEBITO_AUTOMATICO,1,1,DEBITO_AUTOMATICO,GO,Aparecida de Goiania,TEST,SINTETICO
TX000002656,USR000024,2025-07-01,2025-07,FUNDO-DE-INVESTIMENTO,fundo de investimento,651.62,INVESTIMENTO,INVESTIMENTOS,FUNDO,Fundo de Investimento,DEBITO_CONTA,1,0,APP,CE,Juazeiro do Norte,TRAIN,SINTETICO
TX000003108,USR000028,2025-07-01,2025-07,Casa do Pao de Queijo,casa do pao de queijo,1468.1,DESPESA,ALIMENTACAO,CAFETERIA,Casa do Pao de Queijo,CARTAO_DEBITO,1,0,ATM,CE,Juazeiro do Norte,TRAIN,SINTETICO
TX000003653,USR000033,2025-07-01,2025-07,Enel 896,enel 896,206.16,DESPESA,MORADIA,ENERGIA,Enel,CARTAO_CREDITO,1,1,ATM,RJ,Niteroi,TRAIN,SINTETICO
TX000003899,USR000035,2025-07-01,2025-07,Tesouro*Direto,tesouro direto,696.33,INVESTIMENTO,INVESTIMENTOS,RENDA_FIXA,Tesouro Direto,DEBITO_CONTA,1,1,APP,CE,Caucaia,VALIDATION,SINTETICO
TX000004718,USR000042,2025-07-01,2025-07,Ultra 707,ultra 707,462.12,DESPESA,MORADIA,GAS,Ultragaz,CARTAO_CREDITO,1,1,DEBITO_AUTOMATICO,SP,Sorocaba,TRAIN,SINTETICO
TX000005545,USR000049,2025-07-01,2025-07,Casa do Pao de Que 57,casa do pao de que 57,142.81,DESPESA,ALIMENTACAO,CAFETERIA,Casa do Pao de Queijo,PIX,1,1,APP,SP,Sao Paulo,TRAIN,SINTETICO
TX000006317,USR000056,2025-07-01,2025-07,FUNDO DE INVESTIMENTO,fundo de investimento,355.31,INVESTIMENTO,INVESTIMENTOS,FUNDO,Fundo de Investimento,DEBITO_CONTA,1,1,APP,SP,Santos,VALIDATION,SINTETICO
TX000006533,USR000058,2025-07-01,2025-07,Cafe do Ponto,cafe do ponto,1441.31,DESPESA,ALIMENTACAO,CAFETERIA,Cafe do Ponto,CARTAO_DEBITO,1,0,DEBITO_AUTOMATICO,RJ,Rio de Janeiro,TEST,SINTETICO
TX000006535,USR000058,2025-07-01,2025-07,Assai Atacadista,assai atacadista,531.26,DESPESA,ALIMENTACAO,SUPERMERCADO,Assai Atacadista,DINHEIRO,1,1,WEB,RJ,Rio de Janeiro,TEST,SINTETICO
TX000006748,USR000060,2025-07-01,2025-07,PIX Cafe do Ponto LTDA,pix cafe do ponto ltda,139.85,DESPESA,ALIMENTACAO,CAFETERIA,Cafe do Ponto,CARTAO_DEBITO,1,0,WEB,SC,Blumenau,TRAIN,SINTETICO
TX000007086,USR000063,2025-07-01,2025-07,VIVO-MOVEL,vivo movel,507.16,DESPESA,SERVICOS,TELEFONIA,Vivo Movel,BOLETO,1,1,WEB,ES,Cariacica,TRAIN,SINTETICO
TX000007300,USR000065,2025-07-01,2025-07,LANC Imobiliaria Central 7907,lanc imobiliaria central 7907,6.0,DESPESA,MORADIA,ALUGUEL,Imobiliaria Central,PIX,1,0,DEBITO_AUTOMATICO,ES,Serra,TRAIN,SINTETICO
TX000007311,USR000065,2025-07-01,2025-07,MadeiraMadeira,madeiramadeira,483.03,DESPESA,COMPRAS,CASA,MadeiraMadeira,CARTAO_DEBITO,1,0,DEBITO_AUTOMATICO,ES,Serra,TRAIN,SINTETICO
TX000009088,USR000081,2025-07-01,2025-07,RESTAURANTE-SABOR-CASEIRO,restaurante sabor caseiro,342.48,DESPESA,ALIMENTACAO,RESTAURANTE,Restaurante Sabor Caseiro,DEBITO_AUTOMATICO,1,0,POS,PE,Recife,TRAIN,SINTETICO
TX000009092,USR000081,2025-07-01,2025-07,REEMBOLSO,reembolso,840.22,RECEITA,RENDA,REEMBOLSO,Reembolso,PIX,1,0,APP,PE,Recife,TRAIN,SINTETICO
TX000009430,USR000084,2025-07-01,2025-07,Oi Fibra,oi fibra,41.99,DESPESA,SERVICOS,INTERNET,Oi Fibra,BOLETO,1,0,WEB,SC,Blumenau,TRAIN,SINTETICO
TX000010467,USR000093,2025-07-01,2025-07,CONTA-DE-AGUA,conta de agua,42.42,DESPESA,MORADIA,AGUA,Conta de Agua,CARTAO_CREDITO,1,1,ATM,BA,Salvador,TRAIN,SINTETICO
