description,amount,date,type,payment_method,recurrent
Aluguel residencial,3703.32,2024-01-01,EXPENSE,PIX,true
Aplicativo de transporte,84.16,2024-01-01,EXPENSE,DEBIT_CARD,false
Doacao,180.24,2024-01-01,EXPENSE,BOLETO,false
Seguro do veiculo,130.65,2024-01-01,EXPENSE,CREDIT_CARD,true
Seguro do veiculo,278.59,2024-01-01,EXPENSE,BOLETO,true
Seguro do veiculo,209.14,2024-01-01,EXPENSE,PIX,true
Supermercado,444.88,2024-01-01,EXPENSE,PIX,false
Supermercado,50.56,2024-01-01,EXPENSE,BANK_TRANSFER,false
Aluguel recebido,2533.75,2024-01-01,INCOME,BANK_TRANSFER,true
Salario mensal,10341.43,2024-01-01,INCOME,PIX,true
Combustivel,311.48,2024-01-02,EXPENSE,PIX,false
Loja de roupas,66.07,2024-01-02,EXPENSE,BANK_TRANSFER,false
Padaria,19.51,2024-01-02,EXPENSE,BOLETO,false
Padaria,52.09,2024-01-02,EXPENSE,CASH,false
Pet shop,280.19,2024-01-02,EXPENSE,CREDIT_CARD,false
Seguro do veiculo,265.39,2024-01-02,EXPENSE,CASH,false
Streaming,77.85,2024-01-02,EXPENSE,CREDIT_CARD,true
Veterinario,550.55,2024-01-02,EXPENSE,PIX,false
Veterinario,850.85,2024-01-02,EXPENSE,BOLETO,false
Reembolso empresarial,488.94,2024-01-02,INCOME,PIX,false
Reembolso empresarial,84.32,2024-01-02,INCOME,BANK_TRANSFER,false
Restituicao de imposto,2568.28,2024-01-02,INCOME,PIX,false
Condominio,1233.19,2024-01-03,EXPENSE,BOLETO,true
Condominio,1272.84,2024-01-03,EXPENSE,CREDIT_CARD,true
Curso online,414.66,2024-01-03,EXPENSE,CREDIT_CARD,false
Doacao,139.32,2024-01-03,EXPENSE,BANK_TRANSFER,false
Estacionamento,52.55,2024-01-03,EXPENSE,PIX,false
Livraria,92.56,2024-01-03,EXPENSE,PIX,false
Passagem aerea,3618.37,2024-01-03,EXPENSE,BOLETO,false
Plano de celular,96.10,2024-01-03,EXPENSE,PIX,true
Streaming,79.94,2024-01-03,EXPENSE,DEBIT_CARD,true
Veterinario,578.50,2024-01-03,EXPENSE,BOLETO,false
Viagem e hospedagem,4105.41,2024-01-03,EXPENSE,CASH,false
Salario mensal,9083.39,2024-01-03,INCOME,PIX,true
Academia,74.89,2024-01-04,EXPENSE,CASH,true
Combustivel,89.10,2024-01-04,EXPENSE,CREDIT_CARD,false
Conta de agua,36.65,2024-01-04,EXPENSE,BOLETO,true
Conta de agua,103.41,2024-01-04,EXPENSE,BANK_TRANSFER,false
Estacionamento,67.11,2024-01-04,EXPENSE,DEBIT_CARD,false
Farmacia,54.46,2024-01-04,EXPENSE,DEBIT_CARD,false
Internet residencial,191.31,2024-01-04,EXPENSE,PIX,false
Passagem aerea,2414.35,2024-01-04,EXPENSE,CASH,false
Viagem e hospedagem,635.80,2024-01-04,EXPENSE,BOLETO,false
Aluguel recebido,1961.96,2024-01-04,INCOME,BANK_TRANSFER,true
Pagamento freelance,2180.27,2024-01-04,INCOME,BANK_TRANSFER,false
Rendimento de investimento,523.39,2024-01-04,INCOME,PIX,true
Salario mensal,4878.40,2024-01-04,INCOME,BANK_TRANSFER,true
Combustivel,361.71,2024-01-05,EXPENSE,BANK_TRANSFER,false
Conta de agua,197.07,2024-01-05,EXPENSE,CREDIT_CARD,true
Farmacia,255.67,2024-01-05,EXPENSE,BOLETO,false
Loja de roupas,169.89,2024-01-05,EXPENSE,PIX,false
Passagem aerea,3124.58,2024-01-05,EXPENSE,DEBIT_CARD,false
Plano de celular,63.24,2024-01-05,EXPENSE,DEBIT_CARD,true
Seguro do veiculo,367.95,2024-01-05,EXPENSE,CASH,true
Seguro do veiculo,431.42,2024-01-05,EXPENSE,CREDIT_CARD,true
Salario mensal,11953.85,2024-01-05,INCOME,BANK_TRANSFER,true
Transferencia recebida,764.52,2024-01-05,INCOME,PIX,false
Doacao,354.65,2024-01-06,EXPENSE,BOLETO,false
Estacionamento,59.53,2024-01-06,EXPENSE,CASH,false
Viagem e hospedagem,1555.06,2024-01-06,EXPENSE,BOLETO,false
Restituicao de imposto,1246.12,2024-01-06,INCOME,BANK_TRANSFER,false
Venda de produto,413.77,2024-01-06,INCOME,PIX,false
Conta de energia,245.93,2024-01-07,EXPENSE,BANK_TRANSFER,true
Curso online,219.75,2024-01-07,EXPENSE,BANK_TRANSFER,false
Delivery de comida,174.28,2024-01-07,EXPENSE,DEBIT_CARD,false
Eletronicos,1888.27,2024-01-07,EXPENSE,PIX,false
Impostos e taxas,2027.25,2024-01-07,EXPENSE,DEBIT_CARD,false
Livraria,182.12,2024-01-07,EXPENSE,BOLETO,false
Plano de celular,116.90,2024-01-07,EXPENSE,PIX,true
Restaurante,183.29,2024-01-07,EXPENSE,DEBIT_CARD,false
Veterinario,418.69,2024-01-07,EXPENSE,BOLETO,false
Veterinario,321.45,2024-01-07,EXPENSE,DEBIT_CARD,false
Viagem e hospedagem,2912.35,2024-01-07,EXPENSE,CREDIT_CARD,false
Condominio,569.48,2024-01-08,EXPENSE,DEBIT_CARD,true
Conta de agua,39.50,2024-01-08,EXPENSE,BOLETO,true
Curso online,243.44,2024-01-08,EXPENSE,PIX,false
Eletronicos,2179.77,2024-01-08,EXPENSE,CREDIT_CARD,false
Estacionamento,69.48,2024-01-08,EXPENSE,BANK_TRANSFER,false
Farmacia,260.13,2024-01-08,EXPENSE,DEBIT_CARD,false
